video_name,frame,object_id,iou
video_02_static_medium,10,1,0.8856534090909091
video_02_static_medium,10,4,0.6431372549019608
video_02_static_medium,10,2,0.9832242225859247
video_02_static_medium,11,1,0.8926553672316384
video_02_static_medium,11,4,0.6387096774193548
video_02_static_medium,11,2,0.9812765957446808
video_02_static_medium,12,1,0.8861901457321305
video_02_static_medium,12,4,0.53125
video_02_static_medium,12,2,0.9801587301587301
video_02_static_medium,13,1,0.8916494133885439
video_02_static_medium,13,4,0.5121951219512195
video_02_static_medium,13,2,0.9828941285251965
video_02_static_medium,14,1,0.8819538670284939
video_02_static_medium,14,4,0.25
video_02_static_medium,14,2,0.9849806201550387
video_02_static_medium,15,1,0.8882907133243607
video_02_static_medium,15,2,0.9821154828819622
video_02_static_medium,16,1,0.8860172299536117
video_02_static_medium,16,2,0.9817105970952125
video_02_static_medium,17,1,0.8816568047337278
video_02_static_medium,17,2,0.9828080229226361
video_02_static_medium,18,1,0.8783171521035599
video_02_static_medium,18,2,0.9835566382460414
video_02_static_medium,19,1,0.8813775510204082
video_02_static_medium,19,2,0.9797782126549249
video_02_static_medium,20,1,0.8810879190385832
video_02_static_medium,20,2,0.9783670621074668
video_02_static_medium,21,1,0.8800251256281407
video_02_static_medium,21,2,0.9825889477668432
video_02_static_medium,22,1,0.8826086956521739
video_02_static_medium,22,2,0.9809917355371901
video_02_static_medium,23,1,0.8772893772893773
video_02_static_medium,23,2,0.982836495031617
video_02_static_medium,24,1,0.9050868486352357
video_02_static_medium,24,2,0.973973973973974
video_02_static_medium,25,1,0.9096534653465347
video_02_static_medium,25,2,0.9753363228699552
video_02_static_medium,26,1,0.8824582338902148
video_02_static_medium,26,2,0.9721871049304678
video_02_static_medium,27,1,0.9075987841945289
video_02_static_medium,27,2,0.9558173784977909
video_02_static_medium,28,1,0.9047333732774117
video_02_static_medium,28,2,0.9486301369863014
video_02_static_medium,29,1,0.8939393939393939
video_02_static_medium,29,2,0.9408033826638478
video_02_static_medium,30,1,0.9017441860465116
video_02_static_medium,30,2,0.8973684210526316
video_02_static_medium,31,1,0.900802752293578
video_02_static_medium,31,2,0.8637992831541219
video_02_static_medium,32,1,0.8977272727272727
video_02_static_medium,32,2,0.6238532110091743
video_02_static_medium,33,1,0.8936170212765957
video_02_static_medium,33,2,0.29310344827586204
video_02_static_medium,34,1,0.8911000552791598
video_02_static_medium,35,1,0.8880434782608696
video_02_static_medium,36,1,0.9110005527915975
video_02_static_medium,37,1,0.8943699731903485
video_02_static_medium,38,1,0.907277628032345
video_02_static_medium,39,1,0.9007391763463569
video_02_static_medium,40,1,0.9001568217459488
video_02_static_medium,41,1,0.9029579657498703
video_02_static_medium,42,1,0.8967446592065107
video_02_static_medium,43,1,0.900759493670886
video_02_static_medium,44,1,0.8978978978978979
video_02_static_medium,45,1,0.9040755467196819
video_02_static_medium,46,1,0.9076999012833169
video_02_static_medium,47,1,0.9109690113133301
video_02_static_medium,48,1,0.904368932038835
video_02_static_medium,49,1,0.9181598062953995
video_02_static_medium,50,1,0.9081779053084649
video_02_static_medium,51,1,0.9058211074301941
video_02_static_medium,52,1,0.9044943820224719
video_02_static_medium,53,1,0.8980627306273062
video_02_static_medium,54,1,0.9055045871559633
video_02_static_medium,55,1,0.9169329073482428
video_02_static_medium,56,1,0.8971248876909255
video_02_static_medium,57,1,0.9070598748882931
video_02_static_medium,58,1,0.9015817223198594
video_02_static_medium,59,1,0.9127753303964757
video_02_static_medium,60,1,0.9028199566160521
video_02_static_medium,61,1,0.9006024096385542
video_02_static_medium,62,1,0.8985939497230507
video_02_static_medium,63,1,0.9082412914188616
video_02_static_medium,64,1,0.9051433389544689
video_02_static_medium,65,1,0.8981288981288982
video_02_static_medium,66,1,0.9106330161357055
video_02_static_medium,67,1,0.9024091465904451
